Artist ID,Artist Name,Artist Popularity,Artist genre
2o5jDhtHVPhrJdv3cEQ99Z,Ti��sto,83,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']"
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,81,"['dance pop', 'pop', 'pop rap']"
5pUo3fmmHT8bhCyHE52hA6,Liam Payne,65,"['dance pop', 'pop', 'post-teen pop', 'uk pop']"
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,78,"['canadian contemporary r&b', 'pop', 'r&b']"
26bcq2nyj5GB7uRr558iQg,Survivor,68,"['album rock', 'hard rock', 'rock', 'soft rock']"
5lpH0xAS4fVfLkACg9DAuM,Wham!,68,"['dance pop', 'disco', 'europop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,78,"['emo', 'modern rock']"
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,82,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'trap']"
6sFIWsNpZYqfjUpaCgueju,Carly Rae Jepsen,75,"['canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']"
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,84,['brooklyn drill']
5xKp3UyavIBUsGy3DQdXeF,A Great Big World,63,"['neo mellow', 'piano rock', 'pop rock', 'post-teen pop', 'viral pop']"
4KWTAlx2RvbpseOGMEmROg,R.E.M.,73,"['alternative rock', 'athens indie', 'permanent wave', 'pop rock', 'rock']"
0jnsk9HBra6NMjO2oANoPY,Flo Rida,78,"['dance pop', 'miami hip hop', 'pop', 'pop rap']"
2kCcBybjl3SAtIcwdWpUe3,Lil Peep,83,"['emo rap', 'lgbtq+ hip hop']"
4TEJudQY2pXxVHPE3gD2EU,BlocBoy JB,61,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap', 'vapor trap', 'viral rap']"
02A3cEvlLLCbIMVDrK2GHV,Starley,58,"['aussietronica', 'australian pop', 'dance pop', 'deep tropical house', 'edm', 'electropop', 'pop dance', 'pop edm', 'tropical house', 'uk pop']"
50OApTJurDusIo9dGTqSU4,Lilly Wood and The Prick,61,"['french indie pop', 'french rock']"
4sTQVOfp9vEMCemLw50sbu,Galantis,74,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']"
33W1pnW9zScZtYTnAoWnOT,Mr. Probz,64,"['dutch hip hop', 'tropical house']"
1SupJlEpv7RS2tPNRaHViT,Nicky Jam,82,"['latin hip hop', 'reggaeton', 'trap latino']"
7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,73,"['hip hop', 'melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
4TH4BHy0LdBi3dpBW4P2UX,R. City,62,"['reggae fusion', 'virgin islands reggae']"
4bL2B6hmLlMWnUEZnorEtG,Felix Jaehn,74,"['dance pop', 'edm', 'electro house', 'german dance', 'pop', 'pop dance', 'tropical house']"
7z5WFjZAIYejWy0NI5lv4T,Dan + Shay,73,"['contemporary country', 'country', 'country road', 'pop']"
