Album ID,Album Name,Artist ID,Track ID
0G0vIGvVlJ3MtXunjqrbMY,Native (Deluxe),26VFTg2z8YR0cCuwLzESi2,09CtPGIpYB4BrO8qb1RGsF
4DOcG4A40Wf3q2vPNGQwQg,Peace Is The Mission,4V8Sr092TqfHkfAA5fXXqG,4QRZirU4s1f30iDHzuKncj
4xkM0BwLM9H2IUcbYzpcBI,I Love You.,7CajNmpbOovFoOoasH2HaY,1fh2TfUOtOoXEE8qQynYEC
1p5rgTwzlrhJnSdi93zpbd,Roses (Imanbek Remix),04gDigrS5kc9YWfZHwBETP,4vS8VaBwJJV5Ry7UFIQuoo
02sEJTj1sye1JaqxqpcSCp,Encore,6fWVd57NKTalqvmjRd2t8Z,2QjOHCTQ1Jl3zawyYOpxh6
5S9b8euumqMhQbMk0zzQdH,Dream Your Life Away (Special Edition),6vXTefBL93Dj5IqAWq6OTv,7fPuWrlpwDcHm5aHCH5D9t
5HMjpBO0v78ayq5lreAyDd,Faded,0C0XlULifJtAgn6ZNCW2eu,0lYBSQXN6rCTvUZvg9S0lU
5s0rmjP8XOPhP6HhqOhuyC,Stoney (Deluxe),757aE44tKEUQEqRuT6GnEB,7dt6x5M1jzdTEt8oCbisTK
28ZKQMoNBB0etKXZ97G2SN,Beauty Behind The Madness,7jVv8c5Fj3E9VhNjxT4snq,3JvrhDOgAt6p7K8mDyZwRd
2AJaA0is5qbaqFy77tPl7B,Illuminate (Deluxe),7dGJo4pcD2V6oG8kP0tJRR,7gHs73wELdeycvS48JfIos
76FXHQhTuT4QMIxfL09gX8,The Heist,4q3ewBCX7sLwd24euuV69X,3a1lNhkSLSkpJE4MSHpDu9
1Tz3Ai1guEFf4hV3d9i17K,"At Night, Alone.",5WUlDfRSoLAfcVSX1WnrxN,25khomWgBVamSdKw7hzm3l
6s84u2TUpR3wdUv4NgKA2j,SOUR,0du5cEVh5yTK9QJze8zA0C,0w75KG0DuLDi6tdHmEMovD
08jWgM4vSkTose4blKBWov,In The Lonely Hour,2DaxqgrOhkeH0fpeiQq2f4,1rtDwblY1CJ9i490fMzJnc
3oIFxDIo2fwuk4lwCmFZCx,No.6 Collaborations Project,3Nrfpe0tUJi4K4DXYWgMUX,3bidbhpOYeV4knp8AIu8Xn
3vLaOYCNCzngDf8QdBg2V1,Uptown Special,137W8MRPWKqSmrBGDBFSop,1MtUq6Wp1eQ8PC6BbPCj8P
68enXe5XcJdciSDAZr0Alr,Manic,5JZ7CnR6gTvEMKX4g70Amv,4ZtFanR9U6ndgddUvNcjcG
3Gq2Dme9nesdgoqNNlcN8O,Despacito Feat. Justin Bieber (Remix),25u4wHJWxCA9vO0CzxAbK7,5Nm9ERjJZ5oyfXZTECKmRt
7GEzhoTiqcPYkOprWQu581,One Kiss (with Dua Lipa),4r63FhuTkUYltbVAg5TQnk,0hVXuCcriWRGvwMV1r5Yn9
1pCA38N6MkLlthXtAOvZTU,JORDI (Deluxe),4phGZZrJZRo4ElhRtViYdl,32OlwWuMpZ6b0aN2RZOeMS
3XftSbguntyRTBQaGItmfK,The Thrill Of It All (Special Edition),5Rl15oVamLq7FbSb0NNBNy,6FZDfxM3a3UCqtzo5pxSLZ
270o30h7cAlEhBnbuSpFZq,El Dorado,7Ln80lUS6He07XvHI8qqHH,6rPO02ozF3bM7NnOV4h6s2
4c2p3TdN7NcQfCXyueCNnC,Jungle Rules,31TPClRtHm23RisEBtV3X7,3e9HZxeyfWwjeyPAMmWSSQ
4undIeGmofnAYKhnDclN1w,Hot Fuss,4kYSro6naA4h99UJvo89HB,5wANPM4fQCJwkGd4rN57mH
52u4anZbHd6UInnmHRFzba,Please Excuse Me for Being Antisocial,6VuMaDnrHyPL1p4EHjYLi7,7ef4DlsgrMEH11cDZd32M6
6htgf3qv7vGcsdxLCDxKp8,Night Visions,6olE6TJLqED3rqDCT0FyPh,4cktbXiXOapiLBMprHFErI
6pOiDiuDQqrmo5DbG0ZubR,MONTERO,6l3HvQ5sa6mXTsMTB19rO5,3VlbOrM6nYPprVvzBZllE5
5qENHeCSlwWpEzb25peRmQ,Curtain Call: The Hits (Deluxe Edition),0rvjqX7ttXeg3mTy8Xscbt,4jPy3l0RUwlUI9T5XHBW2m
2d9BCZeAAhiZWPpbX9aPCW,EL ��LTIMO TOUR DEL MUNDO,4dpARuHxo51G3z768sgnrY,3B54sVLJ402zGa6Xm4YGNe
5lKlFlReHOLShQKyRv6AL9,Future Nostalgia,5CiGnKThu5ctn9pBxv7DGa,7oK9VyNzrYvRFo7nQEYkWN
