Album ID,Album Name
2cWBwpqMsDJC1ZUwz813lo,The Eminem Show
4KdtEKjY3Gi0mKiSdy96ML,Invasion of Privacy
3J8W9AOjQhnBLCX33m3atT,Heathens
0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
6htgf3qv7vGcsdxLCDxKp8,Night Visions
5s0rmjP8XOPhP6HhqOhuyC,Stoney (Deluxe)
3kndSWeE2IYOrZEToZrHEV,Nine Track Mind
2guirTSEqLizK7j9i1MTTZ,Nevermind (Remastered)
21HMAUrbbYSj9NiPPlGumy,Jazz (Deluxe Remastered Version)
0mZIUXje90JtHxPNzWsJNR,Voicenotes
7viNUmZZ8ztn2UB4XB3jIL,2014 Forest Hills Drive
43wpzak9OmQfrjyksuGwp0,Escape (Bonus Track Version)
1azUkThwd2HfUDdeNeT147,21
7dQ734EW0iLvQfF6vBFNiZ,FRIENDS KEEP SECRETS
4IRiXE5NROxknUSAUSjMoO,7 EP
0RHX9XECH8IVI3LNgWDpmQ,A Rush of Blood to the Head
1QwWTLYn9dntAj7l9FRJwY,Me 4 U
6wPXUmYJ9mOWrKlLzZ5cCa,The Game (Deluxe Remastered Version)
1uyf3l2d4XYwiEqAb7t7fX,Doo-Wops & Hooligans
3cQO7jp5S9qLBoIVtbkSM1,Blurryface
28ZKQMoNBB0etKXZ97G2SN,Beauty Behind The Madness
6Fr2rQkZ383FcMqFyT7yPr,Purpose (Deluxe)
26c7MmQ4w8EAvVLb4jilaM,Heaven & Hell
6FdNvoO5sF4EKwCX9je1MH,1000 Forms Of Fear (Deluxe Version)
6trNtQUgC8cgbWcqoMYkOR,beerbongs & bentleys
2wiPF3m0ylst0JSk1IvZL8,Divinely Uninspired To A Hellish Extent (Extended Edition)
0D7yJonn41qsrIQ7YdWk2z,Nicotine
5r36AJ6VOJtp00oxSkBZ5h,Harry's House
2MFS6WG6jnPAgvJpV3PehR,Carte Blanche
3pEgGUv379EDinvg1TN7Kt,This Is What You Came For
4AdZV63ycxFLF6Hcol0QnB,Starboy
6hPkbAV3ZXpGZBGUvL6jVM,Hybrid Theory (Bonus Edition)
4g1ZRSobMefqF6nelkgibi,Hollywood's Bleeding
0K4pIOOsfJ9lK8OjrZfXzd,25
61G7KL6rpj167r6H4CzS8C,A Place We Knew
3Kmo85mapQ2wTaCAHBkKsK,Cold Water
7Kmmw7Z5D2UD5MVwdm10sT,Torches
01sfgrNbnnPUEyz6GZYlt9,Dua Lipa (Deluxe)
